T,lon,lat,Regime,Link
1,-75.539,35.794,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T1_results.png
2,-75.545,35.806,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T2_results.png
3,-75.547,35.811,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T3_results.png
4,-75.549,35.815,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T4_results.png
5,-75.551,35.819,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T5_results.png
6,-75.553,35.823,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T6_results.png
7,-75.555,35.827,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T7_results.png
8,-75.558,35.836,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T8_results.png
9,-75.557,35.831,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T9_results.png
10,-75.566,35.853,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T10_results.png
11,-75.569,35.861,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T11_results.png
12,-75.573,35.87,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T12_results.png
13,-75.576,35.874,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T13_results.png
14,-75.582,35.886,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T14_results.png
15,-75.585,35.89,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T15_results.png
16,-75.587,35.894,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T16_results.png
17,-75.591,35.902,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T17_results.png
18,-75.594,35.906,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T18_results.png
19,-75.596,35.91,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T19_results.png
20,-75.598,35.914,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T20_results.png
21,-75.6,35.919,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T21_results.png
22,-75.605,35.927,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T22_results.png
23,-75.607,35.931,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T23_results.png
24,-75.61,35.935,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T24_results.png
25,-75.612,35.939,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T25_results.png
26,-75.617,35.947,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T26_results.png
27,-75.619,35.951,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T27_results.png
28,-75.621,35.955,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T28_results.png
29,-75.624,35.959,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T29_results.png
30,-75.626,35.963,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T30_results.png
31,-75.63,35.972,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T31_results.png
32,-75.635,35.98,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T32_results.png
33,-75.642,35.992,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T33_results.png
34,-75.644,35.996,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T34_results.png
35,-75.649,36.004,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T35_results.png
36,-75.651,36.008,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T36_results.png
37,-75.656,36.016,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T37_results.png
38,-75.659,36.02,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T38_results.png
39,-75.661,36.024,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T39_results.png
40,-75.666,36.032,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T40_results.png
41,-75.672,36.04,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T41_results.png
42,-75.677,36.048,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T42_results.png
43,-75.679,36.052,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T43_results.png
44,-75.687,36.064,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T44_results.png
45,-75.693,36.071,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T45_results.png
46,-75.698,36.079,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T46_results.png
47,-75.703,36.087,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T47_results.png
48,-75.705,36.091,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T48_results.png
49,-75.71,36.1,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T49_results.png
50,-75.714,36.108,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T50_results.png
51,-75.717,36.112,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T51_results.png
52,-75.719,36.116,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T52_results.png
53,-75.723,36.124,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T53_results.png
54,-75.726,36.128,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T54_results.png
55,-75.73,36.137,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T55_results.png
56,-75.732,36.141,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T56_results.png
57,-75.736,36.149,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T57_results.png
58,-75.738,36.153,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T58_results.png
59,-75.742,36.162,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T59_results.png
60,-75.746,36.17,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T60_results.png
61,-75.749,36.179,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T61_results.png
62,-75.751,36.183,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T62_results.png
63,-75.754,36.191,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T63_results.png
64,-75.756,36.196,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T64_results.png
65,-75.758,36.2,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T65_results.png
66,-75.76,36.204,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T66_results.png
67,-75.762,36.208,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T67_results.png
68,-75.766,36.217,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T68_results.png
69,-75.77,36.225,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T69_results.png
70,-75.774,36.234,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T70_results.png
71,-75.777,36.242,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T71_results.png
72,-75.781,36.251,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T72_results.png
73,-75.786,36.263,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T73_results.png
74,-75.789,36.272,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T74_results.png
75,-75.793,36.281,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T75_results.png
76,-75.794,36.285,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T76_results.png
77,-75.799,36.298,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T77_results.png
78,-75.802,36.306,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T78_results.png
79,-75.803,36.311,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T79_results.png
80,-75.81,36.328,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T80_results.png
81,-75.811,36.332,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T81_results.png
82,-75.818,36.354,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T82_results.png
83,-75.82,36.363,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T83_results.png
84,-75.822,36.371,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T84_results.png
85,-75.826,36.385,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T85_results.png
86,-75.829,36.398,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T86_results.png
87,-75.83,36.402,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T87_results.png
88,-75.832,36.411,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T88_results.png
89,-75.835,36.42,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T89_results.png
90,-75.839,36.433,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T90_results.png
91,-75.84,36.437,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T91_results.png
92,-75.842,36.446,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T92_results.png
93,-75.845,36.455,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T93_results.png
94,-75.846,36.459,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T94_results.png
95,-75.849,36.468,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T95_results.png
96,-75.851,36.477,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T96_results.png
97,-75.852,36.481,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T97_results.png
98,-75.854,36.485,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T98_results.png
99,-75.857,36.498,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T99_results.png
100,-75.858,36.503,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T100_results.png
101,-75.859,36.507,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T101_results.png
102,-75.861,36.516,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T102_results.png
103,-75.862,36.521,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T103_results.png
104,-75.863,36.529,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T104_results.png
105,-75.864,36.534,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T105_results.png
106,-75.866,36.543,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T106_results.png
107,-75.887,36.622,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T107_results.png
108,-75.891,36.63,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T108_results.png
109,-75.897,36.643,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T109_results.png
110,-75.901,36.651,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T110_results.png
111,-75.905,36.659,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T111_results.png
112,-75.895,36.638,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T112_results.png
113,-75.893,36.634,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T113_results.png
114,-75.912,36.671,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T114_results.png
115,-75.918,36.683,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T115_results.png
116,-75.924,36.695,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T116_results.png
117,-75.929,36.707,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T117_results.png
118,-75.934,36.719,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T118_results.png
119,-75.938,36.731,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T119_results.png
120,-75.943,36.743,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T120_results.png
121,-75.947,36.755,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T121_results.png
122,-75.952,36.768,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T122_results.png
123,-75.957,36.781,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T123_results.png
124,-75.959,36.789,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T124_results.png
125,-75.962,36.798,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T125_results.png
126,-75.964,36.806,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T126_results.png
127,-75.965,36.811,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T127_results.png
128,-75.966,36.815,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T128_results.png
129,-75.965,37.085,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T129_results.png
130,-75.95,37.085,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T130_results.png
131,-75.946,37.087,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T131_results.png
132,-75.943,37.091,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T132_results.png
133,-75.941,37.094,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T133_results.png
134,-75.943,37.1,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T134_results.png
138,-75.921,37.112,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T138_results.png
139,-75.916,37.112,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T139_results.png
140,-75.911,37.114,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T140_results.png
141,-75.902,37.117,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T141_results.png
142,-75.898,37.119,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T142_results.png
143,-75.891,37.124,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T143_results.png
144,-75.894,37.121,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T144_results.png
145,-75.884,37.131,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T145_results.png
146,-75.887,37.127,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T146_results.png
147,-75.881,37.135,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T147_results.png
148,-75.874,37.141,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T148_results.png
149,-75.871,37.144,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T149_results.png
150,-75.866,37.149,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T150_results.png
151,-75.863,37.152,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T151_results.png
152,-75.859,37.156,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T152_results.png
153,-75.856,37.159,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T153_results.png
154,-75.852,37.162,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T154_results.png
155,-75.848,37.165,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T155_results.png
156,-75.839,37.171,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T156_results.png
157,-75.833,37.176,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T157_results.png
158,-75.826,37.187,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T158_results.png
159,-75.822,37.189,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T159_results.png
160,-75.82,37.192,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T160_results.png
161,-75.817,37.196,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T161_results.png
162,-75.818,37.2,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T162_results.png
164,-75.816,37.213,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T164_results.png
165,-75.81,37.215,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T165_results.png
166,-75.807,37.221,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T166_results.png
167,-75.805,37.224,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T167_results.png
168,-75.803,37.227,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T168_results.png
169,-75.805,37.233,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T169_results.png
170,-75.799,37.244,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T170_results.png
171,-75.802,37.25,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T171_results.png
172,-75.799,37.25,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T172_results.png
173,-75.797,37.253,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T173_results.png
174,-75.796,37.256,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T174_results.png
175,-75.796,37.262,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T175_results.png
176,-75.796,37.266,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T176_results.png
177,-75.797,37.271,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T177_results.png
178,-75.796,37.275,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T178_results.png
179,-75.8,37.283,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T179_results.png
181,-75.785,37.296,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T181_results.png
182,-75.776,37.299,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T182_results.png
183,-75.772,37.303,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T183_results.png
184,-75.767,37.308,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T184_results.png
185,-75.761,37.313,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T185_results.png
186,-75.756,37.317,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T186_results.png
188,-75.749,37.326,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T188_results.png
189,-75.744,37.332,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T189_results.png
190,-75.718,37.373,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T190_results.png
191,-75.716,37.376,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T191_results.png
192,-75.713,37.379,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T192_results.png
193,-75.711,37.383,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T193_results.png
194,-75.708,37.387,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T194_results.png
195,-75.706,37.39,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T195_results.png
196,-75.703,37.394,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T196_results.png
197,-75.701,37.398,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T197_results.png
198,-75.698,37.402,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T198_results.png
199,-75.696,37.406,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T199_results.png
200,-75.687,37.417,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T200_results.png
201,-75.684,37.42,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T201_results.png
202,-75.681,37.424,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T202_results.png
203,-75.679,37.428,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T203_results.png
204,-75.676,37.431,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T204_results.png
205,-75.674,37.434,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T205_results.png
206,-75.671,37.437,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T206_results.png
207,-75.667,37.44,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T207_results.png
208,-75.666,37.442,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T208_results.png
209,-75.661,37.447,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T209_results.png
210,-75.659,37.45,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T210_results.png
211,-75.66,37.452,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T211_results.png
212,-75.66,37.455,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T212_results.png
213,-75.663,37.461,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T213_results.png
214,-75.615,37.592,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T214_results.png
215,-75.592,37.673,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T215_results.png
216,-75.591,37.676,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T216_results.png
217,-75.59,37.681,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T217_results.png
218,-75.589,37.685,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T218_results.png
221,-75.58,37.696,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T221_results.png
222,-75.578,37.699,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T222_results.png
223,-75.577,37.702,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T223_results.png
224,-75.575,37.709,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T224_results.png
225,-75.574,37.713,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T225_results.png
226,-75.572,37.717,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T226_results.png
227,-75.569,37.725,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T227_results.png
228,-75.567,37.73,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/UNK08-21_adv00/T228_results.png
